SequenceLength,LSTM train accuracy take 1,LSTM train accuracy take 2,LSTM train accuracy average,GRU train accuracy take 1,GRU train accuracy take 2,GRU train accuracy average,LSTM test accuracy take 1,LSTM test accuracy take 2,LSTM test accuracy average,GRU test accuracy take 1,GRU test accuracy take 2,GRU test accuracy average,LSTM train loss take 1,LSTM train loss take 2,LSTM train loss average,GRU train loss take 1,GRU train loss take 2,GRU train loss average,LSTM test loss take 1,LSTM test loss take 2,LSTM test loss average,GRU test loss take 1,GRU test loss take 2,GRU test loss average
5,0.8539854884147644,0.8561594486236572,0,0.8539854884147644,0.8534420132637024,0,0.2862362861633301,0.2886723577976227,0,0.2935444712638855,0.27771010994911194,0,0.39808619022369385,0.3918210566043854,0,0.3773646354675293,0.3820362985134125,0,4.146823883056641,4.069922924041748,0,4.870388507843018,4.85460090637207,0
10,0.9882139563560486,0.9880326390266418,0,0.9889392852783203,0.989845871925354,0,0.21446079015731812,0.21200980246067047,0,0.2340686321258545,0.22181372344493866,0,0.044005535542964935,0.048562873154878616,0,0.034090764820575714,0.03568853810429573,0,6.121026515960693,6.103525638580322,0,6.726928234100342,6.701576232910156,0
20,0.9656675457954407,0.9985467791557312,0,0.9963669180870056,0.9990917444229126,0,0.23945409059524536,0.2084367275238037,0,0.23697270452976227,0.21588090062141418,0,0.22385847568511963,0.04652848094701767,0,0.06603731215000153,0.016986355185508728,0,4.597567558288574,5.4834513664245605,0,5.780537128448486,6.328637599945068,0
40,0.951686441898346,0.9290792942047119,0,0.9996353983879089,0.8251595497131348,0,0.2340966910123825,0.2442748099565506,0,0.2659032940864563,0.22773537039756775,0,0.27552688121795654,0.3321485221385956,0,0.02306360751390457,0.5560140609741211,0,4.5082807540893555,4.372971534729004,0,6.214862823486328,6.04093074798584,0
80,0.8743801712989807,0.8490357995033264,0,0.9992653727531433,0.9992653727531433,0,0.2520107328891754,0.24664878845214844,0,0.24932976067066193,0.23860590159893036,0,0.5176814794540405,0.5681111812591553,0,0.02930002473294735,0.05111440271139145,0,3.9087448120117188,3.713902235031128,0,6.154941558837891,5.952770709991455,0
120,0.8529139757156372,0.9380203485488892,0,0.9937095046043396,0.9998149871826172,0,0.26770538091659546,0.24362605810165405,0,0.22946175932884216,0.2492917776107788,0,0.567123293876648,0.33371925354003906,0,0.07986300438642502,0.02544044889509678,0,3.784407615661621,4.331903457641602,0,6.375517845153809,6.438285827636719,0
200,0.9014084339141846,0.9417840242385864,0,0.9855399131774902,0.9945539832115173,0,0.2523961663246155,0.2380191683769226,0,0.2380191683769226,0.24920128285884857,0,0.4268572926521301,0.3142654597759247,0,0.07554438710212708,0.07008568197488785,0,4.258838653564453,4.20373010635376,0,6.4471306800842285,6.241057872772217,0
350,0.8946859836578369,0.9227052927017212,0,0.8314976096153259,0.9996135234832764,0,0.26260504126548767,0.24579831957817078,0,0.24369747936725616,0.25840336084365845,0,0.4532262086868286,0.3766075670719147,0,0.5348823070526123,0.023930056020617485,0,3.903895616531372,4.0096917152404785,0,5.474430084228516,6.226731300354004,0
